L_SPEECH_RATE,58,TV,Slow,Normal,Fast,,,,,,,,,
,58es,,Lenta,Normal,Rápida,,,,,,,,,
,58fr,,Lente,Normale,Rapide,,,,,,,,,
L_LOCKED_UNLOCKED,59,,N/A - ICON displays,,,,,,,,,,,
L_VISIBLE_HIDE,60,,Visible,Hidden,,,,,,,,,,
,60es,,Visible,Esconder,,,,,,,,,,
,60fr,,Visible,Masquez,,,,,,,,,,
L_USB_POWER,61,,Always On,Off When TV Off,Off When Display Off,,,,,,,,,
,61es,,Mantener Encendido,Apagar Si TV Apagado,Apagar Si Pantalla Apagado,,,,,,,,,
,61fr,,Toujours Activé,Désactivé Si TV Éteint,Désactivé Si Écran Éteint,,,,,,,,,
,62,,,,,,,,,,,,,
L_INPUTS_SB7,63,Audio,Aux 1,Aux 2,Digital,Optical,USB,Bluetooth,Cast,,,,,
,63es,,Aux 1,Aux 2,Digital,Optical,USB,Bluetooth,Cast,,,,,
,63fr,,Aux 1,Aux 2,Digital,Optical,USB,Bluetooth,Cast,,,,,
L_INPUTS_SB6,64,Audio,Aux,Digital,Optical,USB,Bluetooth,Cast,,,,,,
,64es,,Aux,Digital,Optical,USB,Bluetooth,Cast,,,,,,
,64fr,,Aux,Digital,Optical,USB,Bluetooth,Cast,,,,,,
,65,,,,,,,,,,,,,
,66,,,,,,,,,,,,,
 L_HEIGHT,67,Audio,On,Virtual,Off,,,,,,,,,
,67es,,Activado,Virtual,Apagado,,,,,,,,,
,67fr,,Activé,Virtuel,Arrêté,,,,,,,,,
